,IELTS_R,IELTS_L,IELTS_S,IELTS_W,IELTS_Z
24203,0,0,0,0,0
24204,0,0,0,0,0
24205,0,0,0,0,0
24206,0,0,0,0,0
24207,7.5,6.5,6,6,6.5
24208,7.5,6.5,6,6,6.5
24209,7.5,6.5,6,6,6.5
24210,7.5,6.5,6,6,6.5
24211,7,8,7,6,7
24212,8.5,8,7,7,7.5
24213,8.5,7.5,6.5,6.5,7
24214,0,0,0,0,0
24215,0,0,0,0,0
24216,0,0,0,0,0
24217,0,0,0,0,7
24218,0,0,0,0,0
24219,0,0,0,0,6.5
24220,7.5,8.5,7.5,6.5,7
24221,9,7.5,6.5,6,7
24222,6.5,7.5,6,5.5,7
24223,8.5,7.5,6.5,6.5,7.5
24224,0,0,0,0,0
24225,6.5,8,6.5,6.5,7
24226,6.5,8,6.5,6.5,7
24227,6.5,8,6.5,6.5,7
24228,0,0,0,0,0
24229,0,0,0,0,0
24230,7.5,7.5,6.5,6,7
24231,7.5,7.5,6.5,6,7
24232,7.5,7.5,6.5,6,7
24233,7.5,7.5,6.5,6,7
24234,0,0,0,0,0
24235,0,0,0,0,0
24236,0,0,0,0,0
24237,0,0,0,0,0
24238,0,0,0,0,0
24239,8,7,6,6,7
24240,0,0,0,0,0
24241,0,0,0,0,0
24242,8.5,8.5,8,7,7.5
24243,0,0,0,0,0
24244,7.5,8.5,7.5,6,6
24245,7.5,8.5,7.5,6,6
24246,7.5,8.5,7.5,6,6
24247,0,0,0,0,6.5
24248,0,0,0,0,0
24249,7.5,7,6,6.5,7
24250,0,0,0,0,6.5
24251,8.5,6.5,6,6,7
24252,6.5,7,6,5.5,6.5
24253,9,9,9,6.5,7.5
24254,0,0,0,0,0
24255,6.5,6.5,5.5,6,6.5
24256,7.5,5.5,5,6,6.5
24257,0,0,0,0,0
24258,7.5,7.5,6.5,6,7
24259,7.5,7.5,6.5,6,7
24260,8,8,7,6.5,7.5
24261,0,0,0,0,0
24262,0,0,0,0,0
24263,0,0,0,0,0
24264,0,0,0,0,0
24265,0,0,0,0,7
24266,0,0,0,0,0
24267,0,0,0,0,0
24268,8,7.5,6.5,5.5,6.5
24269,0,0,0,0,0
24270,0,0,0,0,0
24271,0,0,0,0,0
24272,8.5,8,7,6.5,7.5
24273,7.5,7,6,6,6.5
24274,0,0,0,0,0
24275,0,0,0,0,0
24276,0,0,0,0,0
24277,0,0,0,0,0
24278,0,0,0,0,6.5
24279,0,0,0,0,6.5
24280,0,0,0,0,0
24281,0,0,0,0,0
24282,0,0,0,0,0
24283,0,0,0,0,0
24284,0,0,0,0,0
24285,0,0,0,0,0
24286,0,0,0,0,0
24287,0,0,0,0,0
24288,7,6.5,6,6.5,6.5
24289,0,0,0,0,0
24290,0,0,0,0,0
24291,0,0,0,0,0
24292,0,0,0,0,0
24293,0,0,0,0,0
24294,0,0,0,0,0
24295,0,0,0,0,0
24296,0,0,0,0,0
24297,0,0,0,0,0
24298,7.5,6.5,6,6.5,7
24299,7.5,6.5,6,6.5,7
24300,7.5,6.5,6,6.5,7
24301,7.5,6.5,6,6.5,7
24302,7.5,6.5,6,6.5,7
24303,6,6,5.5,5.5,6
24304,0,0,0,0,7
24305,0,0,0,0,7
24306,0,0,0,0,7
24307,0,0,0,0,7
24308,0,0,0,0,7
24309,0,0,0,0,7
24310,0,0,0,0,7
24311,8.5,8.5,8,6.5,7.5
24312,8.5,8.5,8,6.5,7.5
24313,8.5,8,7,6.5,7.5
24314,0,0,0,0,0
24315,6.5,7.5,6,6,6.5
24316,6.5,7.5,6,6,6.5
24317,0,0,0,0,0
24318,7,7,6,5.5,6.5
24319,8,8,7,7,8
24320,8,8,7,7,8
24321,8.5,8.5,8,6,7.5
24322,8.5,8.5,8,6,7.5
24323,8.5,8.5,8,6,7.5
24324,0,0,0,0,6
24325,0,0,0,0,6
24326,0,0,0,0,0
24327,0,0,0,0,0
24328,0,0,0,0,0
24329,0,0,0,0,0
24330,8,7.5,6.5,6,7
24331,8,7.5,6.5,6,7
24332,8,7.5,6.5,6,7
24333,0,0,0,0,0
24334,6.5,7,6,6,6
24335,0,0,0,0,0
24336,0,0,0,0,0
24337,0,0,0,0,0
24338,0,0,0,0,0
24339,0,0,0,0,0
24340,0,0,0,0,0
24341,8,7.5,6.5,6,7
24342,0,0,0,0,0
24343,0,0,0,0,7
24344,7,7,6,7,7
24345,0,0,0,0,0
24346,0,0,0,0,0
24347,8,8.5,8,6,7.5
24348,6.5,6,5.5,5.5,6
24349,6.5,6,5.5,5.5,6
24350,6.5,6,5.5,5.5,6
24351,0,0,0,0,6.5
24352,9,9,9,6.5,7.5
24353,8,7.5,6.5,5.5,6.5
24354,8,7.5,6.5,5.5,6.5
24355,0,0,0,0,0
24356,7,8.5,7.5,6,7
24357,7,8.5,7.5,6,7
24358,0,0,0,7,7.5
24359,0,0,0,7,7.5
24360,0,0,0,0,0
24361,7,7,6,5,6.5
24362,0,0,0,0,0
24363,0,0,0,0,0
24364,0,0,0,0,0
24365,0,0,0,0,0
24366,0,0,0,0,0
24367,0,0,0,0,0
24368,7,8,7,6,7
24369,0,0,0,0,0
24370,7.5,6.5,6,6,6.5
24371,0,0,0,0,0
24372,0,0,0,0,0
24373,7.5,6.5,6,6,7
24374,7.5,7,6,6,6.5
24375,7,7,6,6.5,6.5
24376,7,7,6,6.5,6.5
24377,7,7,6,6.5,6.5
24378,7,7,6,6.5,6.5
24379,0,0,0,0,0
24380,0,0,0,0,0
24381,0,0,0,0,0
24382,0,0,0,0,0
24383,0,0,0,0,0
24384,6.5,7,6,6,7
24385,6.5,7,6,6,7
24386,0,0,0,0,0
24387,7.5,8.5,7.5,6.5,7.5
24388,0,0,0,0,0
24389,0,0,0,0,0
24390,9,9,9,6,7.5
24391,9,9,9,6,7.5
24392,6.5,6.5,5.5,5.5,5.5
24393,0,0,0,0,6.5
24394,0,0,0,0,0
24395,0,0,0,0,6
24396,0,0,0,0,6
24397,0,0,0,0,0
24398,0,0,0,0,0
24399,0,0,0,0,0
24400,0,0,0,0,6.5
24401,8,6.5,6,6,6.5
24402,8,6.5,6,6,6.5
24403,8,6.5,6,6,6.5
24404,0,0,0,0,0
24405,0,0,0,0,0
24406,0,0,0,0,0
24407,0,0,0,0,0
24408,0,0,0,0,0
24409,0,0,0,0,0
24410,7.5,7.5,6.5,6,7
24411,0,0,0,0,0
24412,6.5,7.5,6,6,6.5
24413,0,0,0,0,0
24414,0,0,0,0,0
24415,8.5,7.5,6.5,6.5,7.5
24416,0,0,0,0,0
24417,0,0,0,0,6.5
24418,0,0,0,0,6.5
24419,0,0,0,0,0
24420,0,0,0,0,0
24421,8,7,6,6,7
24422,6.5,6.5,5.5,6,6.5
24423,8,8,7,6,7
24424,7,7,6,6,7
24425,7.5,7,6,6,6.5
24426,8,7.5,6.5,5.5,7
24427,8,7.5,6.5,5.5,7
24428,8,7.5,6.5,5.5,7
24429,8,7.5,6.5,5.5,7
24430,8,7.5,6.5,5.5,7
24431,8,7.5,6.5,5.5,7
24432,8,7.5,6.5,5.5,7
24433,8,7.5,6.5,5.5,7
24434,8,7.5,6.5,5.5,7
24435,7,8,7,6,6.5
24436,8,7.5,6.5,6,7
24437,8,7.5,6.5,6,7
24438,0,0,0,0,0
24439,6.5,6,5.5,5.5,6
24440,0,0,0,0,0
24441,0,0,0,0,0
24442,0,0,0,0,0
24443,0,0,0,0,0
24444,0,0,0,0,0
24445,0,0,0,0,0
24446,7,7.5,6.5,6,6.5
24447,7.5,7,6,6.5,7
24448,7.5,7.5,6.5,6,7
24449,8,7,6,6,7
24450,7,7.5,6.5,5.5,6.5
24451,7,7.5,6.5,5.5,6.5
24452,7.5,7.5,6.5,6,6.5
24453,0,0,0,0,0
24454,0,0,0,0,0
24455,8.5,8.5,8,5.5,7
24456,8.5,8.5,8,5.5,7
24457,0,0,0,0,0
24458,0,0,0,0,0
24459,0,0,0,0,0
24460,7,8,7,5.5,7
24461,7,6,5.5,6,6.5
24462,7,6,5.5,6,6.5
24463,7,6,5.5,6,6.5
24464,7,6,5.5,6,6.5
24465,0,0,0,0,0
24466,0,0,0,0,0
24467,0,0,0,0,0
24468,7,8,7,6,6.5
24469,7,8,7,6,6.5
24470,7,8,7,6,6.5
24471,7,8,7,6,6.5
24472,7,8,7,6,6.5
24473,8,7.5,6.5,5.5,7
24474,0,0,0,0,6.5
24475,0,0,0,0,0
24476,8,7.5,6.5,6,7
24477,8,6.5,6,5.5,6.5
24478,6.5,8,6.5,5.5,5.5
24479,0,0,0,0,0
24480,0,0,0,0,0
24481,0,0,0,0,0
24482,8,9,8.5,7,7.5
24483,8,6,5.5,6,6.5
24484,8,6,5.5,6,6.5
24485,8,6,5.5,6,6.5
24486,8.5,7.5,6.5,7,7.5
24487,8.5,7.5,6.5,7,7.5
24488,0,0,0,0,0
24489,0,0,0,0,0
24490,0,0,0,0,0
24491,0,0,0,0,6.5
24492,0,0,0,0,0
24493,0,0,0,0,0
24494,0,0,0,0,0
24495,0,0,0,0,0
24496,0,0,0,0,0
24497,8.5,7,6,7,7.5
24498,8,8,7,6,7
24499,8,8,7,6,7
24500,7,8,7,6,7
24501,0,0,0,0,0
24502,7,7,6,5.5,6.5
24503,7,8,7,6,7
24504,0,0,0,0,0
24505,8.5,7.5,6.5,7,7.5
24506,0,0,0,0,0
24507,0,0,0,0,0
24508,7.5,8.5,7.5,6,7
24509,5,5,0,5,5
24510,6.5,7,6,6,6.5
24511,7.5,7,6,6,6.5
24512,8,8.5,8,5.5,7
24513,0,0,0,0,0
24514,0,0,0,0,0
24515,7,7.5,6.5,6,7
24516,0,0,0,0,0
24517,0,0,0,0,0
24518,0,0,0,0,0
24519,0,0,0,0,0
24520,0,0,0,0,0
24521,8,7.5,6.5,6,7
24522,0,0,0,0,7
24523,8.5,8.5,8,6,7.5
24524,0,0,0,0,0
24525,0,0,0,0,0
24526,0,0,0,0,0
24527,0,0,0,0,6.5
24528,7.5,8,7,6,7
24529,9,9,9,6.5,7.5
24530,8.5,8.5,8,6.5,7.5
24531,8.5,7,6,6.5,7
24532,8,7.5,6.5,6,7.5
24533,0,0,0,0,0
24534,7,7,6,6,6.5
24535,0,0,0,0,0
24536,8.5,7.5,6.5,6,7
24537,0,0,0,0,0
24538,7.5,7.5,6.5,6,7
24539,7.5,7.5,6.5,6,7
24540,7.5,7.5,6.5,6,7
24541,7.5,7.5,6.5,6,7
24542,7.5,7.5,6.5,6,7
24543,7.5,7.5,6.5,6,7
24544,8.5,8,7,6,7
24545,0,0,0,0,0
24546,8.5,8.5,8,6,7.5
24547,0,0,0,0,0
24548,0,0,0,0,0
24549,8.5,8.5,8,6,7.5
24550,0,0,0,0,0
24551,0,0,0,0,0
24552,7,7.5,6.5,5.5,6.5
24553,7,7.5,6.5,5.5,6.5
24554,0,0,0,0,0
24555,8,8,7,6,7
24556,8,8,7,6,7
24557,0,0,0,0,0
24558,0,0,0,0,0
24559,0,0,0,0,0
24560,0,0,0,0,0
24561,0,0,0,0,0
24562,0,0,0,0,0
24563,7.5,8,7,6,7
24564,8.5,8.5,8,7,7.5
24565,0,0,0,0,0
24566,8.5,8.5,8,7,7.5
24567,0,0,0,0,0
24568,0,0,0,0,0
24569,8.5,8.5,8,7,8
24570,8.5,8.5,8,7,8
24571,8.5,8.5,8,7,8
24572,8,7,6,6,7
24573,0,0,0,0,0
24574,8.5,9,8.5,7,8
24575,8.5,7.5,6.5,6.5,7
24576,0,0,0,0,0
24577,0,0,0,0,0
24578,0,0,0,0,0
24579,0,0,0,0,0
24580,0,0,0,0,0
24581,7,7.5,6.5,6,6.5
24582,7,7.5,6.5,6,6.5
24583,6,6,5.5,6,0
24584,9,7.5,6.5,6.5,7.5
24585,7,7.5,6.5,6,6.5
24586,7,7,6,6,6.5
24587,0,0,0,0,0
24588,0,0,0,0,0
24589,0,0,0,0,0
24590,0,0,0,0,0
24591,7,7,6,6,6.5
24592,0,0,0,0,0
24593,0,0,0,0,0
24594,8,7,6,6.5,7
24595,9,9,9,6.5,7.5
24596,9,9,9,6.5,7.5
24597,9,9,9,6.5,7.5
24598,7,6.5,6,6.5,6.5
24599,0,0,0,0,0
24600,0,0,0,0,0
24601,7.5,7.5,6.5,6.5,7
24602,8.5,8,7,6.5,0
24603,8,7.5,6.5,6,7
24604,8.5,8.5,8,7,7.5
24605,7.5,7.5,6.5,6.5,7
24606,7.5,7.5,6.5,6.5,7
24607,7.5,7.5,6.5,6.5,7
24608,7.5,8.5,7.5,6,7
24609,0,0,0,0,6.5
24610,8.5,7.5,6.5,6,7
24611,0,0,0,0,0
24612,8,8.5,8,6.5,7
24613,8,8.5,8,6.5,7
24614,8,8.5,8,6.5,7
24615,7,8,7,6,7
24616,0,0,0,0,0
24617,7,7,6,6,6.5
24618,0,0,0,0,0
24619,0,0,0,0,0
24620,0,0,0,0,6.5
24621,7.5,7,6,6,7
24622,7.5,7,6,6,7
24623,6,5.5,5,6,6
24624,8.5,7.5,6.5,6,7
24625,0,0,0,0,0
24626,0,0,0,0,0
24627,0,0,0,0,0
24628,0,0,0,0,0
24629,0,0,0,0,0
24630,0,0,0,0,0
24631,8,8,7,7,8
24632,0,0,0,0,6.5
24633,0,0,0,0,6.5
24634,0,0,0,0,6.5
24635,0,0,0,0,6.5
24636,0,0,0,0,6.5
24637,0,0,0,0,0
24638,0,0,0,0,0
24639,0,0,0,0,0
24640,0,0,0,0,0
24641,0,0,0,0,0
24642,0,0,0,0,0
24643,8,8,7,6.5,7.5
24644,8,8,7,6.5,7.5
24645,0,0,0,0,0
24646,0,0,0,0,0
24647,0,0,0,0,0
24648,0,0,0,0,0
24649,6,6,5.5,6.5,6
24650,6,6.5,5.5,6,6.5
24651,0,0,0,0,0
24652,7.5,6.5,6,6,7
24653,7.5,6.5,6,6,7
24654,7.5,6.5,6,6,7
24655,7.5,6.5,6,6,7
24656,7.5,6.5,6,6,7
24657,0,0,0,0,0
24658,0,0,0,0,0
24659,7.5,6.5,6,6,7
24660,7.5,6.5,6,6,7
24661,7.5,6.5,6,6,7
24662,7.5,6.5,6,6,7
24663,7.5,6.5,6,6,7
24664,0,0,0,0,0
24665,7.5,8,7,6,7
24666,0,0,0,0,0
24667,0,0,0,0,0
24668,8,7.5,6.5,6,7
24669,8,7.5,6.5,6,7
24670,7,7.5,6.5,6,6.5
24671,7,7.5,6.5,6,6.5
24672,0,0,0,0,0
24673,0,0,0,0,0
24674,0,0,0,0,0
24675,0,0,0,0,0
24676,0,0,0,0,0
24677,0,0,0,0,0
24678,7.5,7.5,6.5,6,7
24679,0,0,0,0,0
24680,7.5,7.5,6.5,6,7
24681,7.5,7.5,6.5,6,7
24682,0,0,0,0,0
24683,0,0,0,0,0
24684,9,8.5,8,7,8
24685,6,5.5,5,6,6
24686,6,5.5,5,6,6
24687,0,0,0,0,0
24688,6.5,6.5,5.5,6,6.5
24689,6.5,6.5,5.5,6,6.5
24690,6.5,6.5,5.5,6,6.5
24691,0,0,0,0,0
24692,0,0,0,0,0
24693,0,0,0,0,0
24694,7,8.5,7.5,6,6
24695,0,0,0,0,0
24696,0,0,0,0,0
24697,6.5,7,6,5.5,6.5
24698,6.5,7,6,5.5,6.5
24699,0,0,0,0,6.5
24700,0,0,0,0,6.5
24701,8,7.5,6.5,6,7
24702,8,8,7,6,7
24703,8,8,7,6,7
24704,8,8,7,6,7
24705,8.5,8,7,6,7.5
24706,0,0,0,0,0
24707,0,0,0,0,0
24708,7,6.5,6,6.5,6.5
24709,7,8,7,6,7
24710,6,6,5.5,7,6.5
24711,6,6,5.5,7,6.5
24712,6,6,5.5,7,6.5
24713,6,6,5.5,7,6.5
24714,6,6,5.5,7,6.5
24715,0,0,0,0,0
24716,0,0,0,0,0
24717,8.5,8.5,8,6.5,7.5
24718,8.5,8.5,8,6.5,7.5
24719,8.5,8.5,8,6.5,7.5
24720,0,0,0,0,0
24721,7.5,6,5.5,6,6
24722,7,8.5,7.5,6,7
24723,7,6.5,6,5.5,6.5
24724,5.5,7.5,6,5.5,6
24725,5.5,7.5,6,5.5,6
24726,5.5,7.5,6,5.5,6
24727,5.5,7.5,6,5.5,6
24728,5.5,7.5,6,5.5,6
24729,5.5,7.5,6,5.5,6
24730,5.5,7.5,6,5.5,6
24731,5.5,7.5,6,5.5,6
24732,0,0,0,0,0
24733,7.5,8.5,7.5,6,7
24734,7.5,8.5,7.5,6,7
24735,6.5,7.5,6,5.5,6.5
24736,6.5,7.5,6,5.5,6.5
24737,6.5,7.5,6,5.5,6.5
24738,6.5,7.5,6,5.5,6.5
24739,8,8.5,8,6.5,7.5
24740,8.5,8.5,8,6.5,7.5
24741,8.5,7.5,6.5,6.5,7
24742,0,0,0,0,0
24743,0,0,0,0,0
24744,0,0,0,0,0
24745,0,0,0,0,0
24746,8.5,8.5,8,5.5,7
24747,8.5,8.5,8,5.5,7
24748,8.5,8.5,8,5.5,7
24749,8,7.5,6.5,6.5,7
24750,0,0,0,0,6.5
24751,0,6.5,5.5,0,6.5
24752,8,9,8.5,6,7.5
24753,8.5,7.5,6.5,6.5,7.5
24754,6.5,7,6,6,6.5
24755,0,0,0,0,0
24756,0,0,0,0,0
24757,6.5,8.5,7.5,7.5,7.5
24758,6.5,8.5,7.5,7.5,7.5
24759,6.5,8.5,7.5,7.5,7.5
24760,6.5,8.5,7.5,7.5,7.5
24761,0,0,0,0,0
24762,8.5,6,5.5,6.5,7
24763,7.5,7,6,6.5,7
24764,0,0,0,0,0
24765,0,0,0,0,0
24766,9,6,5.5,6.5,7
24767,9,6,5.5,6.5,7
24768,0,0,0,0,0
24769,0,0,0,0,0
24770,0,0,0,0,0
24771,0,0,0,0,0
24772,8.5,8,7,6,7.5
24773,0,0,0,0,0
24774,7.5,6.5,6,5.5,6.5
24775,8,8,7,6,7
24776,0,0,0,0,6.5
24777,7.5,6.5,6,6.5,6.5
24778,7.5,6.5,6,6.5,6.5
24779,7.5,6.5,6,6.5,6.5
24780,7,7,6,6.5,6.5
24781,7.5,9,8.5,6,7
24782,7,7.5,6.5,6.5,6.5
24783,6.5,6.5,5.5,6.5,6
24784,7,8,7,6,7
24785,7.5,6,5.5,6,6.5
24786,7.5,6,5.5,6,6.5
24787,0,0,0,0,0
24788,0,0,0,0,0
24789,8.5,7.5,6.5,5.5,7
24790,8.5,6,5.5,6.5,7
24791,7.5,7,6,7,7
24792,7.5,7,6,7,7
24793,7.5,7,6,7,7
24794,7.5,7,6,7,7
24795,0,0,0,0,0
24796,0,0,0,0,0
24797,0,0,0,0,0
24798,0,0,0,0,0
24799,0,0,0,0,0
24800,8.5,8,7,6.5,7.5
24801,8.5,8,7,6.5,7.5
24802,8.5,8,7,6.5,7.5
24803,8.5,8,7,6.5,7.5
24804,7.5,8,7,7,7.5
24805,0,0,0,0,0
24806,0,0,0,0,0
24807,0,0,0,0,0
24808,8,9,8.5,7,7.5
24809,0,0,0,0,0
24810,0,0,0,0,0
24811,8,7.5,6.5,6,7
24812,8,8,7,6,7
24813,0,0,0,0,0
24814,0,0,0,0,0
24815,0,0,0,0,0
24816,0,0,0,0,0
24817,0,0,0,0,0
24818,0,0,0,0,0
24819,0,0,0,7,7.5
24820,8,7.5,6.5,6,7
24821,8,8,7,6,7
24822,8,8,7,6,7
24823,8,8,7,6,7
24824,8,8,7,6,7
24825,8,8,7,6,7
24826,8,8,7,6,7
24827,0,0,0,0,0
24828,0,0,0,0,0
24829,0,0,0,0,0
24830,0,0,0,0,0
24831,0,0,0,0,7.5
24832,8.5,8.5,8,6,7.5
24833,0,0,0,0,0
24834,0,0,0,0,0
24835,8,8,7,6.5,7.5
24836,8,8,7,6.5,7.5
24837,7,8,7,6,7
24838,7,8.5,7.5,6,7
24839,7,8.5,7.5,6,7
24840,0,0,0,0,0
24841,0,0,0,0,0
24842,0,0,0,0,6.5
24843,0,0,0,0,6.5
24844,0,0,0,0,0
24845,0,0,0,0,0
24846,6.5,7.5,6,6,6.5
24847,0,0,0,0,0
24848,7,6,5.5,5.5,6.5
24849,7,6,5.5,5.5,6.5
24850,7,6,5.5,5.5,6.5
24851,7,6,5.5,5.5,6.5
24852,7.5,8.5,7.5,6,7
24853,7.5,8.5,7.5,6,7
24854,7,6.5,6,5.5,6.5
24855,8.5,8.5,8,6.5,7.5
24856,7,6.5,6,5.5,6.5
24857,0,0,0,0,0
24858,0,0,0,0,0
24859,0,0,0,0,0
24860,0,0,0,0,0
24861,0,0,0,0,0
24862,0,0,0,0,0
24863,0,0,0,0,0
24864,0,0,0,0,0
24865,8,6.5,6,5.5,6.5
24866,7,7,6,6,6.5
24867,8,8.5,8,6,7.5
24868,0,0,0,0,0
24869,0,0,0,0,0
24870,0,0,0,0,0
24871,8.5,8.5,8,6.5,7.5
24872,7,7.5,6.5,6,6.5
24873,0,0,0,0,0
24874,8,7.5,6.5,6,7
24875,8,7.5,6.5,6,7
24876,8,7.5,6.5,6,7
24877,7.5,8.5,7.5,6.5,7.5
24878,0,0,0,0,0
24879,0,0,0,0,0
24880,0,0,0,0,0
24881,0,0,0,0,0
24882,0,0,0,0,0
24883,0,0,0,0,0
24884,0,0,0,0,0
24885,0,0,0,0,0
24886,0,0,0,0,0
24887,7.5,7,6,6,6.5
24888,8,6.5,6,5.5,6.5
24889,8,6.5,6,5.5,6.5
24890,8,6.5,6,5.5,6.5
24891,7.5,8,7,6,7
24892,8,6.5,6,6,6.5
24893,7.5,6.5,6,6,6.5
24894,8,7,6,6,7
24895,8,7,6,6,7
24896,0,0,0,0,6.5
24897,8,6.5,6,6,6.5
24898,8.5,9,8.5,6.5,7.5
24899,8,6.5,6,5.5,6.5
24900,8,6.5,6,5.5,6.5
24901,0,0,0,0,0
24902,0,0,0,0,0
24903,0,0,0,0,0
24904,8,7.5,6.5,6,7
24905,8,7.5,6.5,6.5,7
24906,7,7,6,6,6.5
24907,0,0,0,0,0
24908,0,0,0,0,0
24909,8,8,7,6,7
24910,8,8,7,6,7
24911,7,7,6,6,6.5
24912,7,7,6,6,6.5
24913,7,7,6,6,6.5
24914,7,6.5,6,6.5,6.5
24915,7,6.5,6,6.5,6.5
24916,0,0,0,0,0
24917,8,7,6,6,7
24918,7,7.5,6.5,5.5,6.5
24919,7,7.5,6.5,5.5,6.5
24920,7,7.5,6.5,5.5,6.5
24921,0,0,0,0,0
24922,7.5,7.5,6.5,6,7
24923,9,7,6,6,7
24924,0,0,0,0,0
24925,7,6.5,6,5,6
24926,9,7.5,6.5,6.5,7.5
24927,8,8,7,6,7
24928,8.5,7.5,6.5,5.5,7
24929,6.5,6.5,5.5,6.5,6.5
24930,7.5,6.5,6,6,6.5
24931,6.5,6.5,5.5,6.5,6.5
24932,6.5,6.5,5.5,6.5,6.5
24933,6.5,6.5,5.5,6.5,6.5
24934,0,0,0,0,0
24935,8,7.5,6.5,7,7.5
24936,8,7.5,6.5,7,7.5
24937,0,0,0,0,0
24938,8,7.5,6.5,7,7.5
24939,8,7.5,6.5,7,7.5
24940,0,0,0,0,0
24941,6.5,7,6,5.5,6.5
24942,7.5,6,5.5,5.5,6.5
24943,7.5,6,5.5,5.5,6.5
24944,0,0,0,0,7
24945,8.5,6.5,6,6,7
24946,8.5,8.5,8,6,7.5
24947,9,7.5,6.5,7,7.5
24948,0,0,0,0,7.5
24949,0,0,0,0,6.5
24950,0,0,0,0,0
24951,0,0,0,0,0
24952,7.5,7.5,6.5,6,7
24953,7.5,7.5,6.5,6,7
24954,6.5,7.5,6,5.5,6.5
24955,6.5,7.5,6,5.5,6.5
24956,8,8.5,7.6,6.5,7
24957,0,0,0,0,0
24958,0,0,0,0,0
24959,0,0,0,0,0
24960,7,7,6,5.5,6.5
24961,0,0,0,0,0
24962,0,0,0,0,0
24963,7,7,6,6,6.5
24964,7,7,6,6.5,7
24965,7,7,6,6.5,7
24966,7,7,6,6.5,7
24967,7,7,6,6.5,7
24968,7,7,6,6.5,7
24969,7.5,7,6,5.5,6.5
24970,7.5,7,6,5.5,6.5
24971,5,5,0,5,5
24972,0,0,0,0,0
24973,0,0,0,0,0
24974,7,6.5,6,5.5,6.5
24975,6,6.5,5.5,5.5,6
24976,7.5,7.5,6.5,6,7
24977,8,6,5.5,6,6.5
24978,7.5,7.5,6.5,6,7
24979,0,0,0,0,6.5
24980,8,7,6,6,7
24981,7,6,5.5,6.5,6.5
24982,0,0,0,0,6.5
24983,0,0,0,0,0
24984,6.5,7,6,5.5,6.5
24985,8.5,7.5,6.5,6,7
24986,8,8,7,6,7
24987,8,8,7,6,7
24988,0,0,0,0,0
24989,7.5,8,7,6,7
24990,7.5,7.5,6.5,6,7
24991,7.5,7.5,6.5,6,7
24992,9,8,7,6.5,7.5
24993,8.5,7,6,6,7
24994,7.5,8.5,7.5,6,7
24995,7.5,6,5.5,7.5,6.5
24996,8.5,7.5,6.5,6,7
24997,8.5,7.5,6.5,6,7
24998,8.5,7.5,6.5,6,7
24999,8.5,7.5,6.5,6,7
25000,8.5,7.5,6.5,6.5,7.5
25001,0,0,0,0,0
25002,7,8.5,7.5,6.5,7.5
25003,7,6.5,6,6,6.5
25004,0,0,0,0,0
25005,8,8.5,7.6,6,7
25006,0,0,0,0,0
25007,8,7.5,6.5,6.5,7
25008,8,8.5,7.56,6.5,7.5
25009,0,0,0,0,6.5
25010,0,0,0,0,6.5
25011,0,0,0,0,6.5
25012,9,8,7,6.5,7.5
25013,9,8.5,8,6,7.5
25014,7.5,7.5,6.5,6,7
25015,7,7,6,6,6.5
25016,0,0,0,0,0
25017,0,0,0,0,0
25018,7.5,7,6,6,6.5
25019,0,0,0,0,0
25020,0,0,0,0,0
25021,0,0,0,0,0
25022,7,7.5,6.5,5.5,6.5
25023,0,0,0,7,7.5
25024,7.5,6,5.5,7.5,6.5
25025,0,0,0,0,0
25026,0,0,0,0,7
25027,8,8.5,7.5,6.5,7.5
25028,6.5,8,6.5,5.5,6.5
25029,0,0,0,0,0
25030,0,0,0,0,7
25031,0,0,0,0,7
25032,0,0,0,0,7
25033,0,0,0,0,7
25034,0,0,0,0,7
25035,0,0,0,0,7
25036,0,0,0,0,0
25037,0,0,0,0,0
25038,7.5,6.5,6,6,6.5
25039,0,0,0,0,6.5
25040,0,0,0,0,6.5
25041,0,0,0,0,6.5
25042,0,0,0,0,6.5
25043,0,0,0,0,6.5
25044,0,0,0,0,0
25045,0,0,0,0,0
25046,0,0,0,0,0
25047,6.5,6.5,5.5,6,6.5
25048,8.5,7.5,6.5,6,7
25049,8.5,7.5,6.5,6,7
25050,6.5,8.5,7.5,6,7
25051,6.5,8.5,7.5,6,7
25052,6.5,8,6.5,6,6.5
25053,8.5,7.5,6.5,6,7
25054,7.5,7.5,6.5,6,7
25055,7.5,7,6,6,6.5
25056,7.5,7,6,6,6.5
25057,0,0,0,0,0
25058,0,0,0,0,0
25059,0,0,0,0,0
25060,0,0,0,0,0
25061,7,7,6,6,6.5
25062,0,0,0,0,0
25063,7,8,7,6,7
25064,9,8.5,8,6,7.5
25065,8,8,7,6.5,7.5
25066,8,8,7,6.5,7.5
25067,8,8,7,6.5,7.5
25068,8,8,7,6.5,7.5
25069,8,8,7,6.5,7.5
25070,8,8,7,6.5,7.5
25071,8,8,7,6.5,7.5
25072,8,8,7,6.5,7.5
25073,0,0,0,0,0
25074,8,6,5.5,5.5,6.5
25075,5.5,7.5,6,6,6.5
25076,5.5,7.5,6,6,6.5
25077,5.5,7.5,6,6,6.5
25078,0,0,0,0,0
25079,8,6.5,6,6.5,7
25080,0,0,0,0,0
25081,0,0,0,0,0
25082,0,0,0,0,0
25083,0,0,0,0,0
25084,7.5,8,7,6,7
25085,7.5,8,7,6,7
25086,0,0,0,0,7
25087,8,7.5,6.5,6,7
25088,8,7.5,6.5,6,7
25089,7.5,8,7,6,7
